machine_type,maintenance_interval,operating_mode,environment,vibration_level_mm_s,temperature_F,pressure_PSI,load_factor,days_to_failure
Motor,81,Production,Dusty,1.6,85.2,61,0.6,59.0
Compressor,151,Production,Outdoor,1.9,76.3,124,0.39,47.7
Pump,68,Overload,Indoor,3.2,96.7,117,0.56,19.6
Compressor,72,Idle,Indoor,0.4,53.8,94,0.45,107.4
Motor,84,Idle,Indoor,1.0,51.9,117,0.53,96.3
Pump,115,Overload,Outdoor,3.1,73.0,82,0.3,6.9
Compressor,127,Idle,Dusty,0.8,63.7,138,0.58,105.4
Compressor,114,Idle,Dusty,1.0,96.0,137,0.53,87.0
Compressor,95,Idle,Indoor,0.9,73.3,79,0.48,92.4
Compressor,154,Idle,Dusty,0.5,53.0,133,0.59,112.0
Compressor,84,Overload,Indoor,3.9,85.9,106,0.86,23.2
Compressor,148,Production,Dusty,2.4,62.3,96,0.6,54.0
Compressor,173,Overload,Outdoor,4.0,54.4,93,0.7,10.3
Motor,86,Production,Dusty,1.6,95.9,95,0.54,47.7
Pump,139,Production,Dusty,1.7,76.1,61,0.43,64.9
Compressor,76,Idle,Dusty,1.0,60.0,93,0.41,81.9
Motor,167,Idle,Dusty,0.8,56.9,86,0.57,111.9
Pump,155,Idle,Outdoor,0.4,79.5,117,0.85,117.9
Compressor,79,Idle,Indoor,0.7,68.9,136,0.8,111.0
Compressor,79,Production,Dusty,1.8,59.9,71,0.9,30.8
Motor,103,Production,Outdoor,2.0,52.5,67,0.13,32.5
Pump,120,Overload,Dusty,3.9,61.5,114,0.89,8.8
Motor,104,Production,Dusty,2.4,53.5,134,0.71,40.7
Motor,164,Overload,Outdoor,2.8,82.5,120,0.6,14.0
Compressor,141,Production,Indoor,2.2,81.1,60,0.26,59.1
Pump,172,Production,Indoor,2.0,64.9,92,0.27,63.5
Pump,66,Idle,Dusty,0.4,76.2,137,0.59,94.9
Compressor,122,Overload,Indoor,3.2,64.0,87,0.84,5.2
Compressor,152,Idle,Outdoor,0.9,92.3,118,0.88,112.0
Pump,125,Overload,Indoor,3.6,59.3,65,0.9,17.5
Pump,125,Overload,Indoor,2.6,95.1,134,0.11,12.2
Compressor,88,Overload,Dusty,3.9,73.0,108,0.25,22.4
Motor,130,Idle,Indoor,0.7,54.3,104,0.5,93.5
Pump,136,Production,Indoor,2.2,79.3,60,0.71,60.0
Motor,152,Production,Indoor,1.8,94.1,107,0.59,52.2
Motor,175,Production,Indoor,2.1,78.0,90,0.44,36.2
Pump,80,Overload,Outdoor,3.3,85.3,133,0.32,14.0
Compressor,145,Overload,Outdoor,3.8,83.5,92,0.48,23.8
Pump,137,Idle,Dusty,0.5,69.2,128,0.7,90.0
Pump,102,Overload,Indoor,2.7,72.3,104,0.86,10.0
Motor,166,Overload,Outdoor,3.3,95.0,122,0.26,14.5
Motor,124,Overload,Outdoor,3.6,76.5,113,0.57,10.0
Motor,129,Overload,Outdoor,3.3,89.0,121,0.88,19.5
Motor,173,Production,Dusty,2.3,71.9,125,0.54,57.7
Pump,90,Idle,Dusty,0.7,62.8,92,0.64,105.6
Compressor,115,Overload,Dusty,3.7,74.9,81,0.68,14.9
Compressor,74,Production,Outdoor,2.2,71.9,92,0.44,64.4
Motor,101,Production,Indoor,2.0,64.8,105,0.45,36.0
Pump,147,Production,Dusty,1.9,96.6,91,0.73,61.8
Pump,134,Production,Dusty,1.8,78.6,108,0.52,62.3
Motor,124,Production,Indoor,2.1,87.6,61,0.51,51.1
Pump,102,Idle,Dusty,0.3,53.6,123,0.27,94.9
Motor,91,Overload,Outdoor,2.9,83.1,88,0.75,10.7
Compressor,111,Production,Dusty,1.8,65.1,96,0.75,31.0
Pump,127,Idle,Indoor,0.5,61.6,116,0.76,89.8
Motor,170,Overload,Dusty,2.5,73.4,107,0.81,8.1
Pump,123,Overload,Outdoor,3.7,89.3,61,0.54,13.6
Motor,166,Production,Indoor,2.3,70.8,72,0.63,48.4
Compressor,147,Idle,Outdoor,1.0,57.1,121,0.73,80.2
Pump,101,Overload,Indoor,3.8,71.7,119,0.9,14.5
Pump,146,Idle,Dusty,0.5,58.7,137,0.24,102.3
Pump,108,Production,Indoor,2.1,58.0,73,0.33,70.0
Pump,138,Idle,Outdoor,0.7,64.4,100,0.75,102.4
Motor,101,Production,Indoor,2.1,72.7,139,0.14,62.3
Compressor,63,Production,Indoor,1.9,70.0,122,0.85,52.1
Pump,69,Production,Outdoor,2.4,56.2,68,0.65,52.0
Pump,166,Overload,Indoor,2.9,76.3,64,0.19,24.2
Compressor,140,Production,Dusty,1.9,97.9,125,0.55,51.4
Pump,134,Production,Indoor,2.3,75.4,64,0.53,32.1
Compressor,135,Production,Outdoor,2.4,96.6,121,0.7,58.4
Motor,75,Production,Indoor,2.3,70.3,134,0.17,37.9
Pump,173,Idle,Dusty,0.5,68.3,109,0.23,117.4
Motor,85,Idle,Outdoor,0.7,95.5,75,0.43,108.8
Motor,170,Idle,Dusty,0.7,95.4,122,0.12,82.9
Pump,163,Overload,Dusty,3.3,81.7,65,0.83,19.7
Compressor,106,Overload,Indoor,3.7,65.7,84,0.22,9.7
Pump,91,Idle,Outdoor,0.7,66.4,82,0.48,83.3
Pump,164,Production,Indoor,1.7,60.3,85,0.47,60.8
Pump,76,Production,Dusty,1.5,75.5,96,0.82,67.5
Pump,113,Production,Dusty,2.3,90.3,60,0.36,60.2
Compressor,62,Production,Dusty,2.0,88.3,88,0.32,57.2
Pump,135,Production,Indoor,2.4,52.9,134,0.62,49.3
Compressor,103,Production,Outdoor,1.7,70.6,134,0.14,45.2
Compressor,136,Idle,Indoor,0.9,70.2,111,0.66,115.1
Motor,78,Production,Dusty,1.8,72.3,63,0.56,33.7
Motor,132,Production,Indoor,2.0,76.9,60,0.16,42.4
Pump,121,Idle,Dusty,0.8,98.7,123,0.29,85.5
Motor,139,Overload,Dusty,3.2,83.9,116,0.86,5.1
Compressor,141,Overload,Dusty,3.0,71.1,115,0.82,24.4
Motor,105,Idle,Outdoor,0.8,82.1,127,0.33,98.8
Motor,147,Idle,Indoor,0.8,83.6,100,0.68,113.1
Compressor,64,Idle,Dusty,0.9,52.0,124,0.4,113.7
Motor,62,Idle,Outdoor,1.0,58.0,131,0.42,89.6
Compressor,124,Production,Dusty,2.4,83.1,91,0.39,43.8
Compressor,170,Overload,Indoor,3.0,55.1,114,0.3,12.5
Motor,82,Idle,Dusty,0.9,51.1,62,0.82,91.2
Motor,159,Overload,Indoor,3.0,65.5,128,0.66,20.0
Motor,127,Overload,Indoor,3.2,50.1,60,0.75,5.8
Motor,77,Production,Outdoor,2.1,72.4,103,0.63,47.8
Motor,109,Idle,Outdoor,0.6,53.9,115,0.73,105.8
Pump,64,Production,Indoor,1.7,96.5,98,0.49,49.5
Motor,60,Production,Outdoor,2.4,95.5,135,0.52,48.2
Compressor,142,Production,Outdoor,2.1,62.1,133,0.52,48.0
Motor,152,Overload,Indoor,3.4,52.9,133,0.8,6.5
Compressor,72,Production,Outdoor,2.2,82.4,61,0.62,43.4
Compressor,119,Overload,Indoor,2.9,96.2,115,0.2,5.8
Motor,106,Production,Outdoor,2.1,63.8,137,0.36,63.4
Compressor,90,Production,Dusty,2.5,51.4,79,0.81,54.5
Compressor,173,Overload,Dusty,3.6,59.6,101,0.83,9.2
Compressor,122,Overload,Indoor,2.6,56.1,102,0.8,18.9
Motor,172,Production,Indoor,1.6,66.2,135,0.33,60.6
Compressor,91,Production,Outdoor,2.1,86.9,129,0.6,51.1
Compressor,156,Overload,Indoor,3.6,88.7,81,0.85,20.5
Motor,168,Overload,Indoor,3.4,80.9,121,0.18,22.8
Compressor,137,Overload,Dusty,2.9,75.9,96,0.35,21.4
Motor,151,Idle,Indoor,0.8,85.0,116,0.14,82.8
Pump,72,Overload,Dusty,3.2,94.3,90,0.7,10.2
Motor,179,Overload,Outdoor,2.7,60.5,100,0.29,24.2
Motor,84,Idle,Dusty,0.8,73.6,74,0.22,110.8
Pump,77,Production,Outdoor,2.1,87.9,124,0.81,52.4
Motor,173,Idle,Dusty,0.5,68.5,70,0.51,98.6
Pump,178,Production,Dusty,2.4,70.3,90,0.74,41.7
Motor,97,Production,Indoor,1.7,80.6,105,0.67,40.7
Motor,72,Overload,Dusty,3.9,77.0,137,0.3,23.9
Motor,179,Idle,Outdoor,0.9,78.1,65,0.71,84.4
Pump,62,Production,Outdoor,2.0,93.4,112,0.45,43.5
Motor,83,Production,Dusty,2.4,91.3,64,0.48,34.8
Pump,60,Overload,Dusty,2.7,63.3,132,0.36,21.2
Motor,171,Production,Indoor,1.8,72.2,80,0.25,69.3
Compressor,145,Production,Indoor,1.9,59.6,90,0.49,43.1
Motor,123,Overload,Dusty,3.8,51.5,65,0.63,7.5
Compressor,92,Idle,Outdoor,0.4,52.5,68,0.8,110.3
Pump,107,Idle,Indoor,0.4,97.4,127,0.68,100.2
Motor,165,Production,Dusty,1.6,57.9,98,0.39,49.7
Motor,95,Production,Indoor,2.3,94.4,63,0.83,55.2
Pump,109,Overload,Indoor,3.6,98.3,102,0.34,14.6
Motor,139,Overload,Outdoor,2.5,56.0,85,0.79,18.4
Compressor,153,Idle,Dusty,0.7,59.7,77,0.69,96.1
Pump,168,Overload,Dusty,2.6,75.9,88,0.29,16.5
Pump,90,Overload,Dusty,3.9,97.2,91,0.66,8.9
Compressor,164,Overload,Outdoor,3.1,73.5,116,0.85,7.6
Pump,85,Idle,Indoor,0.8,88.0,138,0.86,80.5
Pump,103,Production,Dusty,2.2,92.5,98,0.4,39.4
Compressor,61,Idle,Outdoor,0.9,81.7,67,0.58,100.6
Motor,175,Idle,Indoor,0.5,79.4,67,0.44,86.5
Motor,173,Production,Dusty,2.5,64.1,131,0.12,52.4
Pump,107,Production,Outdoor,1.9,79.5,104,0.69,56.0
Compressor,108,Overload,Indoor,2.7,53.3,115,0.56,5.4
Compressor,95,Production,Dusty,2.0,98.5,74,0.58,53.4
Pump,80,Production,Dusty,1.9,74.3,103,0.34,44.2
Compressor,128,Idle,Outdoor,0.4,82.7,71,0.54,84.6
Compressor,165,Overload,Dusty,2.7,64.3,96,0.25,11.2
Compressor,96,Overload,Dusty,3.7,61.4,82,0.2,21.9
Motor,150,Production,Indoor,2.3,67.0,116,0.55,48.0
Compressor,144,Overload,Outdoor,2.8,71.9,81,0.58,21.7
Compressor,124,Idle,Indoor,0.4,66.0,139,0.78,91.6
Pump,136,Idle,Outdoor,0.9,91.8,112,0.59,94.7
Compressor,139,Idle,Dusty,0.5,75.6,91,0.5,93.4
Pump,62,Production,Dusty,1.6,67.1,71,0.45,51.8
Motor,156,Overload,Indoor,3.6,97.9,130,0.85,10.0
Motor,119,Overload,Outdoor,3.1,60.6,108,0.5,11.7
Motor,128,Idle,Indoor,0.4,63.8,123,0.28,106.8
Motor,92,Idle,Indoor,0.6,59.3,77,0.5,93.1
Compressor,175,Overload,Outdoor,3.7,62.0,122,0.15,14.8
Motor,137,Overload,Indoor,3.6,80.6,106,0.54,18.2
Pump,78,Idle,Indoor,0.6,61.2,100,0.77,90.9
